subjects	S	distractor	R	rt
1	nonword	absent	nonword	0.232657836583628
1	word	absent	word	0.215826247773052
1	word	absent	word	0.360067947711659
1	nonword	absent	nonword	0.507386938485921
1	nonword	absent	nonword	0.218055765930413
1	nonword	absent	nonword	0.227030446263945
1	nonword	absent	nonword	0.398743233171586
1	nonword	absent	nonword	0.360857115884962
1	word	absent	word	0.224915018846325
1	nonword	absent	nonword	0.325991004911254
1	nonword	present	nonword	0.252555636062085
1	nonword	present	nonword	0.351143996084469
1	nonword	absent	nonword	0.29250786313915
1	word	present	word	0.268867573672427
1	word	present	word	0.312609836896125
1	word	absent	nonword	0.26667631475583
1	nonword	absent	nonword	0.423171381071044
1	nonword	present	nonword	0.368378614413832
1	word	absent	word	0.282889264425403
1	word	present	word	0.239479542186711
1	word	absent	word	0.202364982260924
1	word	present	word	0.305565561412897
1	word	present	nonword	0.227562607967861
1	nonword	absent	nonword	0.332332289154563
1	word	absent	word	0.203775514664558
1	nonword	present	nonword	0.224079149270881
1	nonword	absent	nonword	0.21587316574288
1	nonword	present	nonword	0.308237677134435
1	nonword	present	nonword	0.317447256417013
1	word	absent	word	0.254212908687575
1	word	present	word	0.252144432884626
1	nonword	absent	nonword	0.74362717022726
1	word	absent	word	0.224635367298258
1	nonword	absent	word	0.209974052475646
1	nonword	present	nonword	0.352301036212423
1	word	absent	word	0.328173030180544
1	nonword	absent	nonword	0.219526868441496
1	word	absent	word	0.28758846228608
1	word	present	word	0.451518944936107
1	nonword	absent	nonword	0.240736734646172
1	word	present	word	0.234652536080152
1	nonword	present	nonword	0.604129783015313
1	word	absent	word	0.281838939165754
1	word	absent	word	0.500207750778122
1	nonword	absent	word	0.394885483670956
1	nonword	present	nonword	0.314193194090793
1	nonword	absent	nonword	0.217667068970399
1	word	present	word	0.747975507312034
1	word	absent	word	0.317690428589785
1	nonword	absent	nonword	0.310696590609229
1	nonword	present	nonword	0.515532832439881
1	nonword	present	nonword	0.297687489904611
1	word	present	word	0.369376122533495
1	word	present	word	0.330495819355123
1	word	absent	word	0.431483110430019
1	word	present	word	0.297075426740044
1	nonword	absent	nonword	0.21839440019009
1	nonword	present	nonword	0.392719834936805
1	word	present	word	0.436088963546552
1	word	absent	word	0.283988952938455
1	word	absent	word	0.209227425085587
1	word	present	word	0.40837629061321
1	nonword	present	nonword	0.41246214630061
1	word	absent	word	0.21400169842062
1	nonword	present	word	0.284731167061954
1	nonword	present	nonword	0.403979021732346
1	nonword	present	nonword	0.850911360032026
1	nonword	absent	nonword	0.2512024566366
1	nonword	absent	nonword	0.187875385409755
1	word	absent	word	0.259448963048477
1	nonword	absent	nonword	0.410808730162339
1	nonword	absent	word	0.262016725256574
1	nonword	absent	nonword	0.218540153824588
1	nonword	present	nonword	0.397423529355376
1	nonword	present	nonword	0.378091260291165
1	word	absent	word	0.19654571628391
1	word	present	word	0.264872286662925
1	word	present	word	0.373083936573994
1	nonword	present	nonword	0.202594651408793
1	nonword	absent	nonword	0.29940869985697
